SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
43817,8,2011-06-26T00:00:00.000Z,2011-07-08T00:00:00.000Z,2011-07-03T00:00:00.000Z,5,true,SO43817,,10-4030-016519,16519,,9,12674,12674,1,10904,634616Vi56238,340,3578.27,286.2616,89.4568,3953.9884,,{1DA0A907-765D-4381-BA2C-9DE4CBE351AD},2011-07-03T00:00:00.000Z
43887,8,2011-07-01T00:00:00.000Z,2011-07-13T00:00:00.000Z,2011-07-08T00:00:00.000Z,5,false,SO43887,PO1276169981,10-4020-000548,29493,279,5,970,970,5,9478,106673Vi48861,,419.4589,40.2681,12.5838,472.3108,,{9E78ED24-F8BA-4C3D-AD89-D9A1A2E51D45},2011-07-08T00:00:00.000Z
44061,8,2011-07-30T00:00:00.000Z,2011-08-11T00:00:00.000Z,2011-08-06T00:00:00.000Z,5,true,SO44061,,10-4030-027919,27919,,1,15624,15624,1,2726,630216Vi14177,,3578.27,286.2616,89.4568,3953.9884,,{F6D64750-7A51-4606-B383-87766E20DF9D},2011-08-06T00:00:00.000Z
44275,8,2011-08-30T00:00:00.000Z,2011-09-11T00:00:00.000Z,2011-09-06T00:00:00.000Z,5,true,SO44275,,10-4030-017256,17256,,9,15137,15137,1,9584,134465Vi49406,1185,3578.27,286.2616,89.4568,3953.9884,,{FDA9BC13-D6E4-4D97-8CFE-9DEF81CD6195},2011-09-06T00:00:00.000Z
44322,8,2011-08-31T00:00:00.000Z,2011-09-12T00:00:00.000Z,2011-09-07T00:00:00.000Z,5,true,SO44322,,10-4030-017975,17975,,7,24477,24477,1,638,432665Vi3285,1204,699.0982,55.9279,17.4775,772.5036,,{E28CCB09-6EE5-4EC9-A52C-C70A250612FE},2011-09-07T00:00:00.000Z
44352,8,2011-09-07T00:00:00.000Z,2011-09-19T00:00:00.000Z,2011-09-14T00:00:00.000Z,5,true,SO44352,,10-4030-028297,28297,,1,18394,18394,1,1205,231848Vi6127,,3578.27,286.2616,89.4568,3953.9884,,{B3B7A175-6A3D-4291-97BE-C158C10B429B},2011-09-14T00:00:00.000Z
44497,8,2011-10-01T00:00:00.000Z,2011-10-13T00:00:00.000Z,2011-10-08T00:00:00.000Z,5,false,SO44497,PO17777180922,10-4020-000208,29988,282,6,478,478,5,9855,45350Vi50783,1603,1195.8158,115.75,36.1719,1347.7377,,{566A2142-84F8-4B0D-9EE8-FE95E49EAE23},2011-10-08T00:00:00.000Z
44543,8,2011-10-01T00:00:00.000Z,2011-10-13T00:00:00.000Z,2011-10-08T00:00:00.000Z,5,false,SO44543,PO3045169352,10-4020-000058,29930,277,3,566,566,5,15648,106923Vi80868,,367.8764,36.2971,11.3429,415.5164,,{3F393ECF-9431-4BD9-9156-1FE8551F5D34},2011-10-08T00:00:00.000Z
44686,8,2011-10-20T00:00:00.000Z,2011-11-01T00:00:00.000Z,2011-10-27T00:00:00.000Z,5,true,SO44686,,10-4030-014712,14712,,10,14486,14486,1,8515,1230913Vi44052,1855,3578.27,286.2616,89.4568,3953.9884,,{1360F80C-13E2-460B-A57F-33B2413AB4B4},2011-10-27T00:00:00.000Z
44759,8,2011-10-31T00:00:00.000Z,2011-11-12T00:00:00.000Z,2011-11-07T00:00:00.000Z,5,false,SO44759,PO13920149157,10-4020-000180,29655,275,3,774,774,5,14064,65926Vi72956,,6135.9224,588.6198,183.9437,6908.4859,,{EED425A0-D6AB-433C-BA81-D24B78A23AA3},2011-11-07T00:00:00.000Z
44884,8,2011-11-10T00:00:00.000Z,2011-11-22T00:00:00.000Z,2011-11-17T00:00:00.000Z,5,true,SO44884,,10-4030-018308,18308,,9,11493,11493,1,18235,434435Vi94579,2121,3578.27,286.2616,89.4568,3953.9884,,{2E28832C-6D57-40BE-B91A-5766B9411FAC},2011-11-17T00:00:00.000Z
44936,8,2011-11-18T00:00:00.000Z,2011-11-30T00:00:00.000Z,2011-11-25T00:00:00.000Z,5,true,SO44936,,10-4030-029044,29044,,1,20825,20825,1,14260,432710Vi73936,,3578.27,286.2616,89.4568,3953.9884,,{464ABE23-6953-4BEC-A202-43A2F00275FA},2011-11-25T00:00:00.000Z
45014,8,2011-11-27T00:00:00.000Z,2011-12-09T00:00:00.000Z,2011-12-04T00:00:00.000Z,5,true,SO45014,,10-4030-025705,25705,,9,16967,16967,1,1149,934567Vi5820,2342,699.0982,55.9279,17.4775,772.5036,,{FDAB4A63-2C2C-479D-B9E4-E6E4E9DAF3CA},2011-12-04T00:00:00.000Z
45363,8,2012-01-03T00:00:00.000Z,2012-01-15T00:00:00.000Z,2012-01-10T00:00:00.000Z,5,true,SO45363,,10-4030-019565,19565,,9,28767,28767,1,17681,934302Vi91763,2757,3578.27,286.2616,89.4568,3953.9884,,{35E6A1D2-0377-464D-9B7F-A4047DB9BBE5},2012-01-10T00:00:00.000Z
45437,8,2012-01-14T00:00:00.000Z,2012-01-26T00:00:00.000Z,2012-01-21T00:00:00.000Z,5,true,SO45437,,10-4030-028169,28169,,6,24120,24120,1,11277,633535Vi58149,,3578.27,286.2616,89.4568,3953.9884,,{93B1897D-4CF0-48EF-B2E9-A8BC00452A04},2012-01-21T00:00:00.000Z
45508,8,2012-01-27T00:00:00.000Z,2012-02-08T00:00:00.000Z,2012-02-03T00:00:00.000Z,5,true,SO45508,,10-4030-012510,12510,,7,23902,23902,1,4202,430855Vi22106,,3578.27,286.2616,89.4568,3953.9884,,{443B1B3E-E6FA-46D6-99E7-EE309399B66A},2012-02-03T00:00:00.000Z
45681,8,2012-02-13T00:00:00.000Z,2012-02-25T00:00:00.000Z,2012-02-20T00:00:00.000Z,5,true,SO45681,,10-4030-019789,19789,,9,25491,25491,1,287,1134226Vi1475,3208,3578.27,286.2616,89.4568,3953.9884,,{EA360730-3696-4111-8E73-0761D426B1D0},2012-02-20T00:00:00.000Z
45761,8,2012-02-25T00:00:00.000Z,2012-03-08T00:00:00.000Z,2012-03-03T00:00:00.000Z,5,true,SO45761,,10-4030-011629,11629,,4,26275,26275,1,13569,832529Vi70316,,3578.27,286.2616,89.4568,3953.9884,,{B6174BDD-EB19-41F8-924D-93A58A2A0437},2012-03-03T00:00:00.000Z
45770,8,2012-02-26T00:00:00.000Z,2012-03-09T00:00:00.000Z,2012-03-04T00:00:00.000Z,5,true,SO45770,,10-4030-019956,19956,,9,26872,26872,1,16650,134238Vi86225,3351,3578.27,286.2616,89.4568,3953.9884,,{537EAB97-4D7E-4696-9650-20716DC920D6},2012-03-04T00:00:00.000Z
45862,8,2012-03-08T00:00:00.000Z,2012-03-20T00:00:00.000Z,2012-03-15T00:00:00.000Z,5,true,SO45862,,10-4030-014827,14827,,8,15508,15508,1,2462,131722Vi12821,,3578.27,286.2616,89.4568,3953.9884,,{B0B83F27-0458-4C3C-AD9F-FF4A03765D51},2012-03-15T00:00:00.000Z
46025,8,2012-03-30T00:00:00.000Z,2012-04-11T00:00:00.000Z,2012-04-06T00:00:00.000Z,5,false,SO46025,PO19981184028,10-4020-000271,29611,280,1,862,862,5,5758,125094Vi30104,,2646.1866,253.4956,79.2174,2978.8996,,{537D8EA5-1F71-4DC4-963A-2D0301BFB0EB},2012-04-06T00:00:00.000Z
46486,8,2012-05-14T00:00:00.000Z,2012-05-26T00:00:00.000Z,2012-05-21T00:00:00.000Z,5,true,SO46486,,10-4030-019901,19901,,8,29232,29232,1,,,,699.0982,55.9279,17.4775,772.5036,,{8EA14A04-7C8B-40EB-8F23-15A71B3262D6},2012-05-21T00:00:00.000Z
46821,8,2012-06-16T00:00:00.000Z,2012-06-28T00:00:00.000Z,2012-06-23T00:00:00.000Z,5,true,SO46821,,10-4030-024824,24824,,6,16645,16645,1,4534,533119Vi23763,4574,2181.5625,174.525,54.5391,2410.6266,,{D9818D27-B165-451F-B816-8B19F66468D3},2012-06-23T00:00:00.000Z
46915,8,2012-06-28T00:00:00.000Z,2012-07-10T00:00:00.000Z,2012-07-05T00:00:00.000Z,5,true,SO46915,,10-4030-026276,26276,,1,11652,11652,1,9118,933394Vi47037,,2049.0982,163.9279,51.2275,2264.2536,,{2750B4A7-50B2-470D-82C8-9211A91626BC},2012-07-05T00:00:00.000Z
47514,8,2012-08-09T00:00:00.000Z,2012-08-21T00:00:00.000Z,2012-08-16T00:00:00.000Z,5,true,SO47514,,10-4030-015684,15684,,8,15861,15861,1,16415,131701Vi84904,,2181.5625,174.525,54.5391,2410.6266,,{4F0FADE7-15E0-4B5C-8C62-4A25C5A8B950},2012-08-16T00:00:00.000Z
47703,8,2012-08-30T00:00:00.000Z,2012-09-11T00:00:00.000Z,2012-09-06T00:00:00.000Z,5,false,SO47703,PO3741184156,10-4020-000404,29520,279,5,952,952,5,4983,47995Vi26101,,6185.5671,589.5099,184.2218,6959.2988,,{2B9F8B26-87E2-4DD6-BFB9-3CC471F7D1CA},2012-09-06T00:00:00.000Z
47772,8,2012-09-05T00:00:00.000Z,2012-09-17T00:00:00.000Z,2012-09-12T00:00:00.000Z,5,true,SO47772,,10-4030-022195,22195,,9,28286,28286,1,466,233993Vi2415,5463,2443.35,195.468,61.0838,2699.9018,,{6D165F84-1924-4842-BF43-B7FC57D7DCD4},2012-09-12T00:00:00.000Z
48539,8,2012-11-11T00:00:00.000Z,2012-11-23T00:00:00.000Z,2012-11-18T00:00:00.000Z,5,true,SO48539,,10-4030-022921,22921,,9,25579,25579,1,8941,433921Vi46090,6200,2181.5625,174.525,54.5391,2410.6266,,{F0F8D8F7-8E64-44BA-8150-F7C4A5CCB503},2012-11-18T00:00:00.000Z
50005,8,2013-03-11T00:00:00.000Z,2013-03-23T00:00:00.000Z,2013-03-18T00:00:00.000Z,5,true,SO50005,,10-4030-017848,17848,,8,18501,18501,1,13984,330540Vi72529,,2181.5625,174.525,54.5391,2410.6266,,{54666261-CC9F-4A89-BFAA-E8CB14451A4A},2013-03-18T00:00:00.000Z
